text,emotion
"Things are okay, I guess.",neutral
I'm scared of what might happen.,fear
I can't believe this happened again.,angry
"No way, really?",surprise
This situation makes me anxious.,fear
I don't feel safe right now.,fear
I feel really down today.,sad
What a wonderful day it is.,happy
Everything is going great for me.,happy
I can't stand this.,disgust
I’m shocked by the news!,surprise
"Things are okay, I guess.",neutral
I’m shocked by the news!,surprise
Everything is going great for me.,happy
That's absolutely gross.,disgust
I can't believe this happened again.,angry
I’m shocked by the news!,surprise
I’m worried about the future.,fear
Something feels off and terrifying.,fear
That's absolutely gross.,disgust
That's an unexpected turn of events.,surprise
I miss the old times.,sad
"No way, really?",surprise
"Wow, I didn't see that coming!",surprise
Stop messing things up!,angry
I'm feeling fantastic today!,happy
How can someone enjoy that?,disgust
This is so frustrating!,angry
I'm feeling fantastic today!,happy
I don't feel safe right now.,fear
"Ugh, that’s disgusting.",disgust
I don’t have much to say.,neutral
Nothing seems to be going right.,sad
"Things are okay, I guess.",neutral
This situation makes me anxious.,fear
"Wow, I didn't see that coming!",surprise
Life is beautiful and full of joy.,happy
I can't stand this.,disgust
Today is just a gloomy day.,sad
This is so frustrating!,angry
I can't believe this happened again.,angry
Why can't anything go right?,angry
I can't believe this happened again.,angry
I'm heartbroken and tired.,sad
This makes me sick to my stomach.,disgust
Life is beautiful and full of joy.,happy
I don't feel safe right now.,fear
I'm feeling fantastic today!,happy
I don't feel safe right now.,fear
I'm feeling fantastic today!,happy
I miss the old times.,sad
Life is beautiful and full of joy.,happy
I'm heartbroken and tired.,sad
I'm so excited for the weekend!,happy
How can someone enjoy that?,disgust
Today is just a gloomy day.,sad
How can someone enjoy that?,disgust
"Wow, I didn't see that coming!",surprise
Stop messing things up!,angry
It's an average day.,neutral
I feel really down today.,sad
Everything is going great for me.,happy
That's an unexpected turn of events.,surprise
I'm feeling fantastic today!,happy
Everything is going great for me.,happy
Everything is going great for me.,happy
"No way, really?",surprise
This situation makes me anxious.,fear
I miss the old times.,sad
I’m worried about the future.,fear
This situation makes me anxious.,fear
I can't believe this happened again.,angry
This situation makes me anxious.,fear
"Ugh, that’s disgusting.",disgust
Life is beautiful and full of joy.,happy
That's absolutely gross.,disgust
How can someone enjoy that?,disgust
I don't feel safe right now.,fear
This situation makes me anxious.,fear
"Ugh, that’s disgusting.",disgust
I'm extremely mad at this situation.,angry
I don’t have much to say.,neutral
Just doing my usual routine.,neutral
I'm so excited for the weekend!,happy
Everything is going great for me.,happy
This is so frustrating!,angry
I'm scared of what might happen.,fear
Stop messing things up!,angry
I went to the store today.,neutral
This makes me sick to my stomach.,disgust
"Wow, I didn't see that coming!",surprise
Everything is going great for me.,happy
"Ugh, that’s disgusting.",disgust
I'm so excited for the weekend!,happy
I miss the old times.,sad
I'm feeling fantastic today!,happy
I went to the store today.,neutral
I can't stand this.,disgust
"Things are okay, I guess.",neutral
I'm scared of what might happen.,fear
